gene,A7-A0D9-11A,A7-A0DB-11A,A7-A13G-11A,A7-A0D9-01A,A7-A0DB-01A,A7-A13G-01A
AGPAT6|137964,8096,6919,4217,173212,10014,17958
AGPAT9|84803,490,975,6322,630,691,136
AGPHD1|123688,522,300,415,3036,290,339
AGPS|8540,7540,8610,6429,8846,2659,6935
AGR2|10551,309,140,36,14782,84288,25733
AGR3|155465,32,0,51,285,11634,68648
AGRN|375790,3795,4194,1439,44805,68319,11656
AGRP|181,0,1,1,3,12,2
AGTPBP1|23287,2488,2774,2832,2513,1182,1129
AGTR1|185,4929,4647,7728,149,401,45
AGTR2|186,2,2,0,4,2,0
AGTRAP|57085,1796,2946,1144,2940,5194,3577
AGT|183,387,488,1023,488,1786,8840
AGXT2L1|64850,12,26,0,0,7,9
AGXT2L2|85007,4281,3382,2966,2476,2093,2206
AGXT2|64902,0,3,0,5,41,12
AGXT|189,44,29,69,218,6,0
AHCTF1|25909,9615,7060,8238,14830,9997,17103
AHCYL1|10768,29893,22117,17036,22812,22523,29651
AHCYL2|23382,3515,2870,2757,8732,4395,3617
AHCY|191,6502,7430,4409,16715,24321,9876
AHDC1|27245,2026,2941,803,2933,3716,3279
AHI1|54806,1691,1426,1493,3782,1382,3258
AHNAK2|113146,10555,13503,2117,4242,6530,15336
AHNAK|79026,977614,579946,468633,272704,250334,181706
AHRR|57491,74,48,51,440,140,313
AHR|196,9769,10206,8608,9393,16249,21137
AHSA1|10598,6711,6020,2750,14581,11043,5083
AHSA2|130872,1386,1707,2463,2191,1301,4013
AHSG|197,0,0,0,1,0,0
AHSP|51327,30,0,10,0,3,0
AICDA|57379,134,122,130,211,146,155
AIDA|64853,21752,18844,20176,9922,17108,13302
AIF1L|83543,11013,13619,8576,15282,1910,1296
AIF1|199,3522,6137,1200,748,2606,879
AIFM1|9131,4608,4027,4003,7512,6299,5105
AIFM2|84883,23564,12372,11370,2993,1922,1897
AIFM3|150209,42,98,21,100,175,316
AIG1|51390,7765,4181,5713,5860,6970,3792
AIM1L|55057,24,19,2,308,22,62
AIM1|202,11133,7560,11883,4000,9331,2967
AIM2|9447,63,47,4,20,15,4
AIMP1|9255,3888,3215,3536,6754,4939,7497
AIMP2|7965,1378,1189,718,3271,2876,994
AIPL1|23746,152,110,135,315,204,202
AIP|9049,3790,4564,1556,2608,4652,3020
AIRE|326,24,16,23,33,30,23
AJAP1|55966,31,104,35,313,29,70
AK1|203,3493,3870,2002,2143,3365,2287
AK2|204,11834,8270,9296,13743,14739,13322
AK3L1|205,5206,3143,6384,3147,861,1137
AK3|50808,14709,13538,15010,5719,7963,4757
AK5|26289,237,56,65,306,1690,4204
AK7|122481,75,91,47,233,195,68
AKAP10|11216,2748,2087,2462,6211,2098,2949
AKAP11|11215,9077,10239,11988,10279,11491,12272
AKAP12|9590,59116,52124,34878,4858,4307,2022
AKAP13|11214,16106,15536,10158,16868,11473,15755
AKAP14|158798,0,0,0,0,46,0
AKAP1|8165,9741,10941,15457,3149,8240,10029
AKAP2|11217,23145,14186,18083,2603,3026,1274
AKAP3|10566,277,228,190,96,241,57
AKAP4|8852,4,8,0,0,0,0
AKAP5|9495,290,230,329,739,6230,4599
AKAP6|9472,236,597,577,105,392,52
AKAP7|9465,1661,1267,1424,599,881,537
AKAP8L|26993,2974,2317,1191,8411,4865,3727
AKAP8|10270,2124,1728,1398,4133,3231,3387
AKAP9|10142,7064,5497,9003,20608,21338,13973
AKD1|221264,660,482,687,1981,550,1342
AKIRIN1|79647,6084,4320,5299,6819,6788,6467
AKIRIN2|55122,5026,4134,2697,2781,2990,1765
AKNAD1|254268,8,76,4,24,28,36
AKNA|80709,4536,3961,2243,1818,2411,1999
AKR1A1|10327,5841,8210,3683,5355,16607,14778
AKR1B10|57016,1522,1698,41,4737,126,62
AKR1B15|441282,380,196,97,387,218,268
AKR1B1|231,5150,8145,3007,3319,4525,1061
AKR1C1|1645,54617,22388,15996,8634,2129,168
AKR1C2|1646,85905,30593,32170,5602,2893,234
AKR1C3|8644,27300,15641,14789,4091,2202,1513
AKR1C4|1109,31,19,41,6,4,8
AKR1CL1|340811,21,10,47,2,4,7
AKR1D1|6718,91,55,77,169,85,127
AKR1E2|83592,252,247,244,146,158,63
AKR7A2|8574,5250,3646,3549,7844,6160,5231
AKR7A3|22977,40,22,26,7541,137,1802
AKR7L|246181,30,22,37,692,40,391
AKT1S1|84335,4478,4026,2277,5338,7674,4355
AKT1|207,16419,13743,7008,34184,31591,26001
AKT2|208,24659,16842,14158,11960,16333,11884
AKT3|10000,5129,5940,5955,1869,2131,1094
AKTIP|64400,4230,2415,2775,4898,2488,2206
ALAD|210,20255,8018,7001,5509,10096,10036
ALAS1|211,5575,3778,3949,6444,7538,5932
ALAS2|212,607,25,100,2,1,0
ALB|213,18,8,23,61,365,46
ALCAM|214,2647,2563,665,52881,83054,19702
ALDH16A1|126133,1915,2606,624,2140,4916,1930
ALDH18A1|5832,5542,5324,1921,14404,22455,15614
ALDH1A1|216,27114,22716,15409,2015,3981,547
ALDH1A2|8854,1721,1349,529,200,513,41
ALDH1A3|220,2784,10613,1289,1090,1151,702
ALDH1B1|219,2624,2397,2428,4202,5195,2931
ALDH1L1|10840,8427,13599,17693,333,1367,280
ALDH1L2|160428,2530,2562,2485,1853,1574,1652
ALDH2|217,149358,130892,76655,8339,22717,2071
ALDH3A1|218,1411,1517,65,4254,147,77
ALDH3A2|224,27241,16135,14664,12169,16647,7377
ALDH3B1|221,1752,2782,778,2581,2130,591
ALDH3B2|222,111,51,5,8446,21026,4037
ALDH4A1|8659,19323,6604,5927,12387,5723,2814
ALDH5A1|7915,3325,2430,4192,8324,963,1201
ALDH6A1|4329,5343,5222,16956,3677,6440,5155
ALDH7A1|501,7500,6545,7305,13591,10186,8699
ALDH8A1|64577,59,57,79,140,85,240
ALDH9A1|223,33120,19927,29876,11008,25295,28032
ALDOA|226,72764,56746,42894,124882,367047,224298
ALDOB|229,106,6,62,9,5,13
ALDOC|230,20253,2870,13184,2311,853,151
ALG10B|144245,1418,1950,2166,1623,2819,3361
ALG10|84920,367,273,280,303,762,569
ALG11|440138,260,234,184,593,370,446
ALG12|79087,1711,1757,1020,4152,2371,3474
ALG13|79868,2178,2394,1953,2729,3074,4270
ALG14|199857,1586,806,912,860,1716,1744
ALG1L2|644974,15,11,12,26,44,23
ALG1L|200810,54,57,13,120,135,31
ALG1|56052,2462,2450,1639,5034,7126,5599
ALG2|85365,2294,2886,2075,2325,5609,5389
ALG3|10195,2195,2361,1191,3996,6477,2763
ALG5|29880,3342,2667,2217,4262,4372,4178
ALG6|29929,825,1060,842,2031,2627,3568
ALG8|79053,4228,3304,2789,6187,7727,6343
ALG9|79796,4372,3251,3389,4184,4172,3114
ALKBH1|8846,777,594,608,1060,1814,1101
